bench,bpred,size,frmt,metric,value
gcc,bimod,128KB,1,lookups,2455009
gcc,bimod,128KB,1,updates,2060457
gcc,bimod,128KB,1,addr_hits,1829609
gcc,bimod,128KB,1,dir_hits,1890836
gcc,bimod,128KB,1,misses,169621
gcc,bimod,128KB,1,jr_hits,134465
gcc,bimod,128KB,1,jr_seen,174461
gcc,bimod,128KB,1,jr_non_ras_hits.PP,17126
gcc,bimod,128KB,1,jr_non_ras_seen.PP,53076
gcc,bimod,128KB,1,bpred_addr_rate,0.8880
gcc,bimod,128KB,1,bpred_dir_rate,0.9177
gcc,bimod,128KB,1,bpred_jr_rate,0.7707
gcc,bimod,128KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,128KB,1,retstack_pushes,153184
gcc,bimod,128KB,1,retstack_pops,136012
gcc,bimod,128KB,1,used_ras.PP,121385
gcc,bimod,128KB,1,ras_hits.PP,117339
gcc,bimod,128KB,1,ras_rate.PP,0.9667
gcc,bimod,128KB,1,reverse_lookups,2060457
gcc,bimod,128KB,1,reverse_updates,2060457
gcc,bimod,128KB,1,reverse_addr_hits,1826497
gcc,bimod,128KB,1,reverse_dir_hits,1882010
gcc,bimod,128KB,1,reverse_misses,178447
gcc,bimod,128KB,1,reverse_jr_hits,138533
gcc,bimod,128KB,1,reverse_jr_seen,174461
gcc,bimod,128KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,128KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,128KB,1,reverse_bpred_addr_rate,0.8865
gcc,bimod,128KB,1,reverse_bpred_dir_rate,0.9134
gcc,bimod,128KB,1,reverse_bpred_jr_rate,0.7941
gcc,bimod,128KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,128KB,1,reverse_retstack_pushes,121385
gcc,bimod,128KB,1,reverse_retstack_pops,121396
gcc,bimod,128KB,1,reverse_used_ras.PP,121385
gcc,bimod,128KB,1,reverse_ras_hits.PP,121385
gcc,bimod,128KB,1,reverse_ras_rate.PP,1.0000
gcc,bimod,128KB,0,lookups,2455009
gcc,bimod,128KB,0,updates,2060457
gcc,bimod,128KB,0,addr_hits,1829609
gcc,bimod,128KB,0,dir_hits,1890836
gcc,bimod,128KB,0,misses,169621
