bench,bpred,size,frmt,metric,value
gcc,inorder,0KB,0,lookups,2245738
gcc,inorder,0KB,0,updates,2060457
gcc,inorder,0KB,0,addr_hits,1789769
gcc,inorder,0KB,0,dir_hits,1844933
gcc,inorder,0KB,0,misses,215524
gcc,inorder,0KB,0,jr_hits,136820
gcc,inorder,0KB,0,jr_seen,174461
gcc,inorder,0KB,0,jr_non_ras_hits.PP,17126
gcc,inorder,0KB,0,jr_non_ras_seen.PP,53076
gcc,inorder,0KB,0,bpred_addr_rate,0.8686
gcc,inorder,0KB,0,bpred_dir_rate,0.8954
gcc,inorder,0KB,0,bpred_jr_rate,0.7842
gcc,inorder,0KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,inorder,0KB,0,retstack_pushes,137619
gcc,inorder,0KB,0,retstack_pops,125173
gcc,inorder,0KB,0,used_ras.PP,121385
gcc,inorder,0KB,0,ras_hits.PP,119694
gcc,inorder,0KB,0,ras_rate.PP,0.9861
gcc,inorder,0KB,0,reverse_lookups,2060457
gcc,inorder,0KB,0,reverse_updates,2060457
gcc,inorder,0KB,0,reverse_addr_hits,1791987
gcc,inorder,0KB,0,reverse_dir_hits,1844355
gcc,inorder,0KB,0,reverse_misses,216102
gcc,inorder,0KB,0,reverse_jr_hits,138533
gcc,inorder,0KB,0,reverse_jr_seen,174461
gcc,inorder,0KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,inorder,0KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,inorder,0KB,0,reverse_bpred_addr_rate,0.8697
gcc,inorder,0KB,0,reverse_bpred_dir_rate,0.8951
gcc,inorder,0KB,0,reverse_bpred_jr_rate,0.7941
gcc,inorder,0KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,inorder,0KB,0,reverse_retstack_pushes,121385
gcc,inorder,0KB,0,reverse_retstack_pops,121396
gcc,inorder,0KB,0,reverse_used_ras.PP,121385
gcc,inorder,0KB,0,reverse_ras_hits.PP,121385
gcc,inorder,0KB,0,reverse_ras_rate.PP,1.0000
go,inorder,0KB,0,lookups,1969202
go,inorder,0KB,0,updates,1810315
go,inorder,0KB,0,addr_hits,1639550
go,inorder,0KB,0,dir_hits,1645539
go,inorder,0KB,0,misses,164776
go,inorder,0KB,0,jr_hits,75365
go,inorder,0KB,0,jr_seen,79564
go,inorder,0KB,0,jr_non_ras_hits.PP,7379
go,inorder,0KB,0,jr_non_ras_seen.PP,11442
go,inorder,0KB,0,bpred_addr_rate,0.9057
go,inorder,0KB,0,bpred_dir_rate,0.9090
go,inorder,0KB,0,bpred_jr_rate,0.9472
go,inorder,0KB,0,bpred_jr_non_ras_rate.PP,0.6449
go,inorder,0KB,0,retstack_pushes,74221
go,inorder,0KB,0,retstack_pops,71659
go,inorder,0KB,0,used_ras.PP,68122
go,inorder,0KB,0,ras_hits.PP,67986
go,inorder,0KB,0,ras_rate.PP,0.9980
go,inorder,0KB,0,reverse_lookups,1810315
go,inorder,0KB,0,reverse_updates,1810315
go,inorder,0KB,0,reverse_addr_hits,1641764
go,inorder,0KB,0,reverse_dir_hits,1646534
go,inorder,0KB,0,reverse_misses,163781
go,inorder,0KB,0,reverse_jr_hits,75506
go,inorder,0KB,0,reverse_jr_seen,79564
go,inorder,0KB,0,reverse_jr_non_ras_hits.PP,7384
go,inorder,0KB,0,reverse_jr_non_ras_seen.PP,11442
go,inorder,0KB,0,reverse_bpred_addr_rate,0.9069
go,inorder,0KB,0,reverse_bpred_dir_rate,0.9095
go,inorder,0KB,0,reverse_bpred_jr_rate,0.9490
go,inorder,0KB,0,reverse_bpred_jr_non_ras_rate.PP,0.6453
go,inorder,0KB,0,reverse_retstack_pushes,68122
go,inorder,0KB,0,reverse_retstack_pops,68129
go,inorder,0KB,0,reverse_used_ras.PP,68122
go,inorder,0KB,0,reverse_ras_hits.PP,68122
go,inorder,0KB,0,reverse_ras_rate.PP,1.0000
ijpeg,inorder,0KB,0,lookups,2283697
ijpeg,inorder,0KB,0,updates,2283506
ijpeg,inorder,0KB,0,addr_hits,2283128
ijpeg,inorder,0KB,0,dir_hits,2283263
ijpeg,inorder,0KB,0,misses,243
ijpeg,inorder,0KB,0,jr_hits,427948
ijpeg,inorder,0KB,0,jr_seen,427955
ijpeg,inorder,0KB,0,jr_non_ras_hits.PP,139
ijpeg,inorder,0KB,0,jr_non_ras_seen.PP,140
ijpeg,inorder,0KB,0,bpred_addr_rate,0.9998
ijpeg,inorder,0KB,0,bpred_dir_rate,0.9999
ijpeg,inorder,0KB,0,bpred_jr_rate,1.0000
ijpeg,inorder,0KB,0,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,inorder,0KB,0,retstack_pushes,427971
ijpeg,inorder,0KB,0,retstack_pops,427816
ijpeg,inorder,0KB,0,used_ras.PP,427815
ijpeg,inorder,0KB,0,ras_hits.PP,427809
ijpeg,inorder,0KB,0,ras_rate.PP,1.0000
ijpeg,inorder,0KB,0,reverse_lookups,2283506
ijpeg,inorder,0KB,0,reverse_updates,2283506
ijpeg,inorder,0KB,0,reverse_addr_hits,2283319
ijpeg,inorder,0KB,0,reverse_dir_hits,2283319
ijpeg,inorder,0KB,0,reverse_misses,187
ijpeg,inorder,0KB,0,reverse_jr_hits,427955
ijpeg,inorder,0KB,0,reverse_jr_seen,427955
ijpeg,inorder,0KB,0,reverse_jr_non_ras_hits.PP,140
ijpeg,inorder,0KB,0,reverse_jr_non_ras_seen.PP,140
ijpeg,inorder,0KB,0,reverse_bpred_addr_rate,0.9999
ijpeg,inorder,0KB,0,reverse_bpred_dir_rate,0.9999
ijpeg,inorder,0KB,0,reverse_bpred_jr_rate,1.0000
ijpeg,inorder,0KB,0,reverse_bpred_jr_non_ras_rate.PP,1.0000
ijpeg,inorder,0KB,0,reverse_retstack_pushes,427815
ijpeg,inorder,0KB,0,reverse_retstack_pops,427821
ijpeg,inorder,0KB,0,reverse_used_ras.PP,427815
ijpeg,inorder,0KB,0,reverse_ras_hits.PP,427815
ijpeg,inorder,0KB,0,reverse_ras_rate.PP,1.0000
li,inorder,0KB,0,lookups,2492821
li,inorder,0KB,0,updates,2297377
li,inorder,0KB,0,addr_hits,2112276
li,inorder,0KB,0,dir_hits,2138986
li,inorder,0KB,0,misses,158391
li,inorder,0KB,0,jr_hits,364151
