benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
compress,bimod,16KB,16384,frmt,10000002,1.1256,0.8362,0.8401,0.8361,0.8401,0,0,0,0
compress,bimod,16KB,16384,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,32KB,32768,frmt,10000002,1.1256,0.8362,0.8401,0.8361,0.8401,0,0,0,0
compress,bimod,32KB,32768,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,64KB,65536,frmt,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,64KB,65536,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,128KB,131072,frmt,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,128KB,131072,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,256KB,262144,frmt,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,256KB,262144,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,512KB,524288,frmt,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,512KB,524288,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,1MB,1048576,frmt,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,bimod,1MB,1048576,twin,10000002,1.1256,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,gshare,16KB,16384,frmt,10000000,1.3169,0.9107,0.9872,0.9044,0.9872,0,0,0,0
compress,gshare,16KB,16384,twin,10000000,1.3169,0.9107,0.9876,0.9044,0.9876,0,0,0,0
compress,gshare,32KB,32768,frmt,10000000,1.3286,0.9157,0.9907,0.9098,0.9907,0,0,0,0
compress,gshare,32KB,32768,twin,10000000,1.3286,0.9157,0.9911,0.9098,0.9911,0,0,0,0
compress,gshare,64KB,65536,frmt,10000000,1.3485,0.9221,0.9945,0.9181,0.9944,0,0,0,0
compress,gshare,64KB,65536,twin,10000000,1.3485,0.9221,0.9949,0.9181,0.9949,0,0,0,0
compress,gshare,128KB,131072,frmt,10000000,1.3564,0.9248,0.9922,0.9207,0.9922,0,0,0,0
compress,gshare,128KB,131072,twin,10000000,1.3564,0.9248,0.9927,0.9207,0.9927,0,0,0,0
compress,gshare,256KB,262144,frmt,10000000,1.3654,0.9275,0.9939,0.9234,0.9939,0,0,0,0
compress,gshare,256KB,262144,twin,10000000,1.3654,0.9275,0.9945,0.9234,0.9945,0,0,0,0
compress,gshare,512KB,524288,frmt,10000000,1.3701,0.9292,0.9946,0.9251,0.9946,0,0,0,0
compress,gshare,512KB,524288,twin,10000000,1.3701,0.9292,0.9954,0.9251,0.9954,0,0,0,0
compress,gshare,1MB,1048576,frmt,10000000,1.3762,0.9311,0.9930,0.9271,0.9930,0,0,0,0
compress,gshare,1MB,1048576,twin,10000000,1.3762,0.9311,0.9940,0.9271,0.9940,0,0,0,0
compress,inorder,0KB,0,twin,10000001,0.7361,0.8362,0.8402,0.8361,0.8402,0,0,0,0
compress,mbp,16KB,16384,frmt,10000000,1.3169,0.9107,0.9876,0.9044,0.9876,0,0,0,0
compress,mbp,16KB,16384,twin,10000000,1.3169,0.9107,0.9877,0.9044,0.9877,0,0,0,0
