bench,bpred,size,metric,value
fpppp,mbp,128KB_frmt,lookups,3636
fpppp,mbp,128KB_frmt,updates,2969
fpppp,mbp,128KB_frmt,addr_hits,1907
fpppp,mbp,128KB_frmt,dir_hits,2218
fpppp,mbp,128KB_frmt,misses,751
fpppp,mbp,128KB_frmt,jr_hits,176
fpppp,mbp,128KB_frmt,jr_seen,216
fpppp,mbp,128KB_frmt,jr_non_ras_hits.PP,6
fpppp,mbp,128KB_frmt,jr_non_ras_seen.PP,9
fpppp,mbp,128KB_frmt,bpred_addr_rate,0.6423
fpppp,mbp,128KB_frmt,bpred_dir_rate,0.7471
fpppp,mbp,128KB_frmt,bpred_jr_rate,0.8148
fpppp,mbp,128KB_frmt,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,128KB_frmt,retstack_pushes,306
fpppp,mbp,128KB_frmt,retstack_pops,276
fpppp,mbp,128KB_frmt,used_ras.PP,207
fpppp,mbp,128KB_frmt,ras_hits.PP,170
fpppp,mbp,128KB_frmt,ras_rate.PP,0.8213
fpppp,mbp,128KB_frmt,reverse_lookups,0
fpppp,mbp,128KB_frmt,reverse_updates,0
fpppp,mbp,128KB_frmt,reverse_addr_hits,0
fpppp,mbp,128KB_frmt,reverse_dir_hits,0
fpppp,mbp,128KB_frmt,reverse_misses,0
fpppp,mbp,128KB_frmt,reverse_jr_hits,0
fpppp,mbp,128KB_frmt,reverse_jr_seen,0
fpppp,mbp,128KB_frmt,reverse_jr_non_ras_hits.PP,0
fpppp,mbp,128KB_frmt,reverse_jr_non_ras_seen.PP,0
fpppp,mbp,128KB_frmt,divide,by,zero>
fpppp,mbp,128KB_frmt,divide,by,zero>
fpppp,mbp,128KB_frmt,divide,by,zero>
fpppp,mbp,128KB_frmt,divide,by,zero>
fpppp,mbp,128KB_frmt,reverse_retstack_pushes,0
fpppp,mbp,128KB_frmt,reverse_retstack_pops,0
fpppp,mbp,128KB_frmt,reverse_used_ras.PP,0
fpppp,mbp,128KB_frmt,reverse_ras_hits.PP,0
fpppp,mbp,128KB_frmt,divide,by,zero>
fpppp,mbp,128KB,lookups,3636
fpppp,mbp,128KB,updates,2969
fpppp,mbp,128KB,addr_hits,1907
fpppp,mbp,128KB,dir_hits,2218
fpppp,mbp,128KB,misses,751
fpppp,mbp,128KB,jr_hits,176
fpppp,mbp,128KB,jr_seen,216
fpppp,mbp,128KB,jr_non_ras_hits.PP,6
fpppp,mbp,128KB,jr_non_ras_seen.PP,9
fpppp,mbp,128KB,bpred_addr_rate,0.6423
fpppp,mbp,128KB,bpred_dir_rate,0.7471
fpppp,mbp,128KB,bpred_jr_rate,0.8148
fpppp,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,128KB,retstack_pushes,306
fpppp,mbp,128KB,retstack_pops,276
fpppp,mbp,128KB,used_ras.PP,207
fpppp,mbp,128KB,ras_hits.PP,170
fpppp,mbp,128KB,ras_rate.PP,0.8213
fpppp,mbp,128KB,reverse_lookups,0
fpppp,mbp,128KB,reverse_updates,0
fpppp,mbp,128KB,reverse_addr_hits,0
fpppp,mbp,128KB,reverse_dir_hits,0
fpppp,mbp,128KB,reverse_misses,0
fpppp,mbp,128KB,reverse_jr_hits,0
fpppp,mbp,128KB,reverse_jr_seen,0
fpppp,mbp,128KB,reverse_jr_non_ras_hits.PP,0
fpppp,mbp,128KB,reverse_jr_non_ras_seen.PP,0
fpppp,mbp,128KB,divide,by,zero>
fpppp,mbp,128KB,divide,by,zero>
fpppp,mbp,128KB,divide,by,zero>
fpppp,mbp,128KB,divide,by,zero>
fpppp,mbp,128KB,reverse_retstack_pushes,0
fpppp,mbp,128KB,reverse_retstack_pops,0
