benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
compress,tage,16KB,16384,frmt,10000002,1.1335,0.8413,0.9620,0.8411,0.9620,1490504,0,1506338,1506341
compress,tage,16KB,16384,twin,10000002,1.1335,0.8413,0.9264,0.8411,0.9264,1329718,0,1506331,1506302
compress,tage,32KB,32768,frmt,10000002,1.1343,0.8418,0.9763,0.8416,0.9763,1367608,0,1503739,1503741
compress,tage,32KB,32768,twin,10000002,1.1343,0.8418,0.9481,0.8416,0.9481,1331460,0,1503728,1503699
compress,tage,64KB,65536,frmt,10000002,1.1350,0.8424,0.9934,0.8422,0.9934,1383604,0,1500833,1500835
compress,tage,64KB,65536,twin,10000002,1.1350,0.8424,0.9918,0.8422,0.9918,1309191,0,1500824,1500795
compress,tage,128KB,131072,frmt,10000002,1.1380,0.8438,0.9958,0.8436,0.9958,1387363,0,1496329,1496331
compress,tage,128KB,131072,twin,10000002,1.1380,0.8438,0.9942,0.8436,0.9942,1322340,0,1496336,1496307
compress,tage,256KB,262144,frmt,10000002,1.1373,0.8434,0.9962,0.8432,0.9962,1391653,0,1498731,1498731
compress,tage,256KB,262144,twin,10000002,1.1373,0.8434,0.9948,0.8431,0.9948,1276275,0,1498739,1498710
compress,tage,512KB,524288,frmt,10000002,1.1414,0.8451,0.9975,0.8449,0.9975,1394246,0,1496031,1496031
compress,tage,512KB,524288,twin,10000002,1.1414,0.8451,0.9972,0.8449,0.9972,1188401,0,1496017,1495988
compress,tage,1MB,1048576,frmt,10000002,1.1430,0.8459,0.9989,0.8457,0.9989,1354802,0,1500778,1500778
compress,tage,1MB,1048576,twin,10000002,1.1430,0.8459,0.9987,0.8457,0.9987,1139929,0,1500768,1500739
compress,tagesc,16KB,16384,frmt,10000002,1.1260,0.8356,0.9621,0.8344,0.9620,1406333,176412,1550546,1550549
compress,tagesc,16KB,16384,twin,10000002,1.1260,0.8356,0.9264,0.8344,0.9264,1325150,176978,1550558,1550527
compress,tagesc,32KB,32768,frmt,10000002,1.1278,0.8365,0.9764,0.8353,0.9764,1341201,189864,1546720,1546722
compress,tagesc,32KB,32768,twin,10000002,1.1278,0.8365,0.9481,0.8353,0.9481,1324787,189847,1546737,1546706
compress,tagesc,64KB,65536,frmt,10000002,1.1300,0.8378,0.9934,0.8366,0.9934,1407719,206251,1539085,1539087
compress,tagesc,64KB,65536,twin,10000002,1.1300,0.8378,0.9918,0.8366,0.9918,1297525,206196,1539086,1539055
compress,tagesc,128KB,131072,frmt,10000002,1.1282,0.8372,0.9957,0.8359,0.9957,1343732,227667,1539006,1539008
compress,tagesc,128KB,131072,twin,10000002,1.1282,0.8372,0.9942,0.8359,0.9942,1229014,227393,1539010,1538979
compress,tagesc,256KB,262144,frmt,10000002,1.1318,0.8389,0.9961,0.8377,0.9961,1356019,243704,1530707,1530707
compress,tagesc,256KB,262144,twin,10000002,1.1317,0.8389,0.9948,0.8377,0.9948,1233456,242388,1530753,1530722
compress,tagesc,512KB,524288,frmt,10000002,1.1339,0.8406,0.9973,0.8396,0.9973,1356620,266120,1525097,1525097
compress,tagesc,512KB,524288,twin,10000002,1.1334,0.8404,0.9972,0.8394,0.9972,1181571,264514,1525916,1525885
compress,tagesc,1MB,1048576,frmt,10000002,1.1375,0.8423,0.9987,0.8412,0.9987,1325762,278776,1515939,1515939
compress,tagesc,1MB,1048576,twin,10000002,1.1369,0.8420,0.9987,0.8410,0.9987,1110274,277113,1516708,1516677
compress,tscl,16KB,16384,frmt,10000002,1.1497,0.8499,0.9401,0.8498,0.9401,1343198,173971,1547501,1547504
compress,tscl,16KB,16384,twin,10000002,1.1497,0.8499,0.9264,0.8498,0.9264,1431137,174442,1547513,1547483
compress,tscl,32KB,32768,frmt,10000002,1.1505,0.8503,0.9546,0.8502,0.9546,1320065,187881,1544408,1544410
compress,tscl,32KB,32768,twin,10000002,1.1504,0.8502,0.9481,0.8501,0.9481,1313769,187765,1544465,1544435
compress,tscl,64KB,65536,frmt,10000002,1.1512,0.8506,0.9771,0.8505,0.9771,1320858,204033,1537831,1537833
compress,tscl,64KB,65536,twin,10000002,1.1512,0.8506,0.9918,0.8505,0.9918,1250160,203833,1537830,1537800
compress,tscl,128KB,131072,frmt,10000002,1.1485,0.8495,0.9803,0.8494,0.9803,1359966,225427,1538597,1538599
compress,tscl,128KB,131072,twin,10000002,1.1485,0.8495,0.9942,0.8494,0.9942,1331857,225000,1538466,1538436
compress,tscl,256KB,262144,frmt,10000002,1.1513,0.8506,0.9823,0.8505,0.9823,1337523,241496,1529590,1529590
compress,tscl,256KB,262144,twin,10000002,1.1513,0.8506,0.9948,0.8505,0.9948,1170882,239280,1530228,1530198
compress,tscl,512KB,524288,frmt,10000002,1.1498,0.8504,0.9876,0.8503,0.9876,1359465,263961,1525814,1525814
compress,tscl,512KB,524288,twin,10000002,1.1502,0.8505,0.9972,0.8504,0.9972,1141708,262404,1524965,1524934
compress,tscl,1MB,1048576,frmt,10000002,1.1537,0.8522,0.9952,0.8521,0.9952,1335161,277009,1516459,1516459
compress,tscl,1MB,1048576,twin,10000002,1.1543,0.8524,0.9987,0.8523,0.9987,1110977,275326,1515662,1515631
gcc,tage,16KB,16384,frmt,10000000,0.7979,0.9205,0.9539,0.8906,0.9271,1156575,0,81095,51818
gcc,tage,16KB,16384,twin,10000000,0.7996,0.9250,0.7316,0.8950,0.7050,1120073,0,80814,81238
gcc,tage,32KB,32768,frmt,10000000,0.8000,0.9245,0.9442,0.8944,0.9169,1078613,0,93763,60699
gcc,tage,32KB,32768,twin,10000000,0.8005,0.9268,0.7774,0.8967,0.7501,1068604,0,93116,93477
gcc,tage,64KB,65536,frmt,10000000,0.8024,0.9282,0.9247,0.8980,0.8968,1131066,0,118858,88191
gcc,tage,64KB,65536,twin,10000000,0.8028,0.9300,0.8308,0.8998,0.8024,962151,0,118300,118678
gcc,tage,128KB,131072,frmt,10000000,0.8042,0.9310,0.9210,0.9007,0.8924,1087537,0,124614,108214
gcc,tage,128KB,131072,twin,10000000,0.8046,0.9319,0.8935,0.9016,0.8643,842286,0,124273,124662
gcc,tage,256KB,262144,frmt,10000000,0.8050,0.9325,0.9437,0.9021,0.9142,1057105,0,134141,120786
gcc,tage,256KB,262144,twin,10000000,0.8054,0.9329,0.9395,0.9026,0.9096,735304,0,133666,133987
gcc,tage,512KB,524288,frmt,10000000,0.8054,0.9332,0.9735,0.9028,0.9433,1088540,0,140480,130740
gcc,tage,512KB,524288,twin,10000000,0.8052,0.9331,0.9675,0.9028,0.9372,671390,0,140125,140360
gcc,tage,1MB,1048576,frmt,10000000,0.8060,0.9338,0.9883,0.9035,0.9578,1059530,0,143766,137486
gcc,tage,1MB,1048576,twin,10000000,0.8057,0.9333,0.9853,0.9030,0.9548,645022,0,143669,143796
gcc,tagesc,16KB,16384,frmt,10000000,0.7884,0.9035,0.9540,0.8736,0.9273,1152767,73897,81193,52092
gcc,tagesc,16KB,16384,twin,10000000,0.7989,0.9232,0.7316,0.8932,0.7050,1107434,23188,80823,81243
gcc,tagesc,32KB,32768,frmt,10000000,0.7930,0.9110,0.9443,0.8810,0.9170,1077933,71191,94116,61232
gcc,tagesc,32KB,32768,twin,10000000,0.7999,0.9251,0.7775,0.8949,0.7501,1037857,24746,93524,93887
gcc,tagesc,64KB,65536,frmt,10000000,0.7960,0.9148,0.9239,0.8846,0.8961,1164374,74782,118685,88463
gcc,tagesc,64KB,65536,twin,10000000,0.8013,0.9268,0.8308,0.8965,0.8025,945241,29203,118087,118460
gcc,tagesc,128KB,131072,frmt,10000000,0.7993,0.9200,0.9213,0.8899,0.8926,1123987,70964,124208,107822
gcc,tagesc,128KB,131072,twin,10000000,0.8033,0.9286,0.8935,0.8984,0.8643,823713,31839,123772,124163
gcc,tagesc,256KB,262144,frmt,10000000,0.8021,0.9250,0.9441,0.8948,0.9145,1101450,70654,133627,120276
gcc,tagesc,256KB,262144,twin,10000000,0.8032,0.9287,0.9395,0.8985,0.9096,714383,36328,133217,133541
gcc,tagesc,512KB,524288,frmt,10000000,0.8036,0.9269,0.9735,0.8967,0.9433,1057184,49598,140240,130507
gcc,tagesc,512KB,524288,twin,10000000,0.8040,0.9293,0.9675,0.8991,0.9372,685394,39460,139937,140170
gcc,tagesc,1MB,1048576,frmt,10000000,0.8037,0.9268,0.9882,0.8965,0.9578,1040623,52173,143588,137316
gcc,tagesc,1MB,1048576,twin,10000000,0.8037,0.9287,0.9853,0.8984,0.9548,654023,54322,143404,143530
gcc,tscl,16KB,16384,frmt,10000000,0.7885,0.9039,0.9534,0.8741,0.9267,1128184,73615,81580,52283
gcc,tscl,16KB,16384,twin,10000000,0.7991,0.9238,0.7316,0.8938,0.7050,1154419,20683,80810,81214
gcc,tscl,32KB,32768,frmt,10000000,0.7932,0.9114,0.9431,0.8815,0.9158,1132694,68634,94372,61300
gcc,tscl,32KB,32768,twin,10000000,0.8001,0.9254,0.7775,0.8954,0.7501,1064105,22844,93773,94117
gcc,tscl,64KB,65536,frmt,10000000,0.7964,0.9156,0.9221,0.8855,0.8942,1165941,69806,118422,87753
gcc,tscl,64KB,65536,twin,10000000,0.8017,0.9277,0.8308,0.8976,0.8025,960372,26362,117865,118224
gcc,tscl,128KB,131072,frmt,10000000,0.7988,0.9202,0.9188,0.8902,0.8901,1133341,67301,124422,108025
gcc,tscl,128KB,131072,twin,10000000,0.8029,0.9290,0.8935,0.8988,0.8643,868330,28606,123830,124201
gcc,tscl,256KB,262144,frmt,10000000,0.8019,0.9253,0.9420,0.8952,0.9125,1108814,68462,133656,120306
gcc,tscl,256KB,262144,twin,10000000,0.8035,0.9295,0.9395,0.8994,0.9096,754575,30713,133187,133494
gcc,tscl,512KB,524288,frmt,10000000,0.8038,0.9275,0.9723,0.8975,0.9421,1103051,45157,140153,130418
gcc,tscl,512KB,524288,twin,10000000,0.8036,0.9296,0.9675,0.8995,0.9372,729230,35029,139880,140104
gcc,tscl,1MB,1048576,frmt,10000000,0.8036,0.9275,0.9877,0.8974,0.9573,1076628,46386,143414,137139
gcc,tscl,1MB,1048576,twin,10000000,0.8037,0.9294,0.9853,0.8993,0.9548,648031,43585,143379,143481
go,tage,16KB,16384,frmt,10000002,1.3373,0.9098,0.9245,0.9060,0.9217,1143323,0,94019,61331
go,tage,16KB,16384,twin,10000002,1.3458,0.9143,0.7732,0.9106,0.7703,1513041,0,92907,93389
go,tage,32KB,32768,frmt,10000002,1.3416,0.9118,0.9245,0.9081,0.9217,1265595,0,127962,95074
go,tage,32KB,32768,twin,10000002,1.3442,0.9137,0.8124,0.9099,0.8095,1391402,0,127124,127592
go,tage,64KB,65536,frmt,10000002,1.3473,0.9151,0.9467,0.9114,0.9439,1300562,0,176491,152761
go,tage,64KB,65536,twin,10000002,1.3446,0.9139,0.8818,0.9102,0.8788,1298333,0,175889,176218
go,tage,128KB,131072,frmt,10000002,1.3433,0.9136,0.9529,0.9099,0.9499,1266739,0,212746,191793
go,tage,128KB,131072,twin,10000002,1.3444,0.9141,0.9124,0.9104,0.9094,1107235,0,212299,212441
go,tage,256KB,262144,frmt,10000002,1.3497,0.9164,0.9616,0.9127,0.9585,1210788,0,234388,224036
go,tage,256KB,262144,twin,10000002,1.3468,0.9152,0.9434,0.9115,0.9403,1089725,0,233944,234106
go,tage,512KB,524288,frmt,10000002,1.3507,0.9167,0.9750,0.9130,0.9719,1216206,0,245344,243654
go,tage,512KB,524288,twin,10000002,1.3522,0.9174,0.9609,0.9137,0.9578,940914,0,245270,245428
