bench,bpred,size,frmt,metric,value
gcc,tscl,128KB,1,lookups,2414066
gcc,tscl,128KB,1,updates,2060457
gcc,tscl,128KB,1,addr_hits,1857735
gcc,tscl,128KB,1,dir_hits,1920206
gcc,tscl,128KB,1,misses,140251
gcc,tscl,128KB,1,jr_hits,134460
gcc,tscl,128KB,1,jr_seen,174461
gcc,tscl,128KB,1,jr_non_ras_hits.PP,17126
gcc,tscl,128KB,1,jr_non_ras_seen.PP,53076
gcc,tscl,128KB,1,bpred_addr_rate,0.9016
gcc,tscl,128KB,1,bpred_dir_rate,0.9319
gcc,tscl,128KB,1,bpred_jr_rate,0.7707
gcc,tscl,128KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,tscl,128KB,1,retstack_pushes,148821
gcc,tscl,128KB,1,retstack_pops,133932
gcc,tscl,128KB,1,used_ras.PP,121385
gcc,tscl,128KB,1,ras_hits.PP,117334
gcc,tscl,128KB,1,ras_rate.PP,0.9666
gcc,tscl,128KB,1,reverse_lookups,2060457
gcc,tscl,128KB,1,reverse_updates,2060457
gcc,tscl,128KB,1,reverse_addr_hits,1874391
gcc,tscl,128KB,1,reverse_dir_hits,1934086
gcc,tscl,128KB,1,reverse_misses,126371
gcc,tscl,128KB,1,reverse_jr_hits,138533
gcc,tscl,128KB,1,reverse_jr_seen,174461
gcc,tscl,128KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,tscl,128KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,tscl,128KB,1,reverse_bpred_addr_rate,0.9097
gcc,tscl,128KB,1,reverse_bpred_dir_rate,0.9387
gcc,tscl,128KB,1,reverse_bpred_jr_rate,0.7941
gcc,tscl,128KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,tscl,128KB,1,reverse_retstack_pushes,121385
gcc,tscl,128KB,1,reverse_retstack_pops,121396
gcc,tscl,128KB,1,reverse_used_ras.PP,121385
gcc,tscl,128KB,1,reverse_ras_hits.PP,121385
gcc,tscl,128KB,1,reverse_ras_rate.PP,1.0000
gcc,tscl,128KB,0,lookups,2413819
gcc,tscl,128KB,0,updates,2060457
